task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1217,shuffle,2,0.8356370849568467,0.574215240964561,0.06653921633027535
linear,1217,shuffle,4,0.8440842016469672,0.6141403964105525,0.10019048035307725
linear,1217,shuffle,8,0.841488223081101,0.6585973458689651,0.12437954209579948
linear,1217,shuffle,16,0.8114275202884037,0.695164736482258,0.12504725559985172
linear,1217,shuffle,32,0.8264653190521095,0.7668606085550178,0.10995535505311017
linear,1218,shuffle,1,0.8584444697746656,0.6236529976560594,0.03883232364853416
linear,1218,shuffle,2,0.8642988510112565,0.6495453705766904,0.06723485240384532
linear,1218,shuffle,4,0.8683645403053102,0.6671477977732179,0.10331355088736392
linear,1218,shuffle,8,0.8617166661508224,0.6796547468702353,0.1311535177125774
linear,1218,shuffle,16,0.8374545395139732,0.7199565348590363,0.13026815066132236
linear,1218,shuffle,32,0.8599793638906832,0.8121273873601128,0.11043525310956648
