task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1208,shuffle,16,0.8484749733426021,0.7282823240138053,0.12331623401144802
linear,1208,shuffle,32,0.8767325965240305,0.8197426265725987,0.1054466533337825
linear,1209,shuffle,1,0.8649774051259035,0.5595676876168013,0.051463118896150184
linear,1209,shuffle,2,0.874255989104212,0.5884200441094247,0.08339735841176961
linear,1209,shuffle,4,0.8827022272740911,0.6441192921212424,0.11633936402704909
linear,1209,shuffle,8,0.8772293343857233,0.7050035359469412,0.13505858287664074
linear,1209,shuffle,16,0.8344600674247195,0.7299438677711367,0.1347963528597319
linear,1209,shuffle,32,0.8297532469471159,0.7846010636069665,0.12226627262301855
linear,1210,shuffle,1,0.8873235573940373,0.6158570574734878,0.03237720647735627
linear,1210,shuffle,2,0.8940637322163945,0.6611547207389934,0.05704231278059079
linear,1210,shuffle,4,0.9000909162597714,0.7103485415901161,0.08990169690514774
linear,1210,shuffle,8,0.8910994314240211,0.7278073203633022,0.1174083760080268
linear,1210,shuffle,16,0.8436100776436641,0.732619030338612,0.12184937380543379
linear,1210,shuffle,32,0.8431549073520248,0.7953222978596381,0.10845038569089181
linear,1211,shuffle,1,0.711313039283088,0.5853592650395223,0.03728947260158179
linear,1211,shuffle,2,0.7288053063601435,0.605704201481271,0.06380958664724494
linear,1211,shuffle,4,0.7438196079623034,0.6082875002435261,0.09666081079525515
linear,1211,shuffle,8,0.7385136091594493,0.5915445999211952,0.12141045209420676
linear,1211,shuffle,16,0.7260310469776035,0.610941768334452,0.12084549961576084
linear,1211,shuffle,32,0.7779810454758179,0.6971276835062762,0.10685968060610923
linear,1212,shuffle,1,0.9022370685940756,0.535417467734368,0.038687839903534145
linear,1212,shuffle,2,0.9075622406273847,0.594403839711053,0.06579110159489929
linear,1212,shuffle,4,0.9008232085065326,0.664189361777311,0.09976870002689377
linear,1212,shuffle,8,0.8593938698094528,0.7027180391300942,0.12856671927669927
linear,1212,shuffle,16,0.8053694664547622,0.7114335871737142,0.12918885572120556
linear,1212,shuffle,32,0.8191179886917864,0.770106096828159,0.10842011089996707
linear,1213,shuffle,1,0.7846444526595769,0.49410959226558276,0.04601208405457026
linear,1213,shuffle,2,0.7975242729425763,0.5399326869378615,0.07572328995476656
linear,1213,shuffle,4,0.8024010042366231,0.5966698782261963,0.10883928817727523
linear,1213,shuffle,8,0.7754188812255902,0.6319495991779852,0.13181244245497575
linear,1213,shuffle,16,0.739504646903795,0.6574065011029602,0.13157921973117306
linear,1213,shuffle,32,0.7789353133043465,0.7425556256472514,0.11750437892892476
linear,1214,shuffle,1,0.8295583738907941,0.5466304492624898,0.035816836709680284
linear,1214,shuffle,2,0.8386756321264085,0.5909595981503303,0.061240245751738746
linear,1214,shuffle,4,0.8458344199986519,0.640909525251568,0.09305652791684305
linear,1214,shuffle,8,0.8404467696546941,0.6819842028802072,0.11877035386357938
linear,1214,shuffle,16,0.8210363724063964,0.7232451509935386,0.1201788683900133
linear,1214,shuffle,32,0.8394759266212006,0.7943265556332948,0.09927433397644773
linear,1215,shuffle,1,0.7900943822911889,0.5806313252836982,0.03948795998245587
linear,1215,shuffle,2,0.8007921369970374,0.5945495185658324,0.06746656065757523
linear,1215,shuffle,4,0.8030081226820183,0.6032826531732428,0.10211778030365705
linear,1215,shuffle,8,0.7821482704069401,0.6095444615715357,0.1287335724210483
linear,1215,shuffle,16,0.7430722573157298,0.6304460276103468,0.12830600492772856
linear,1215,shuffle,32,0.7799049410957799,0.726898036781062,0.11014853320834975
linear,1216,shuffle,1,0.8146713465658139,0.5717352822708995,0.04585637202055077
linear,1216,shuffle,2,0.8247572437321095,0.606799516701593,0.07707986114985814
linear,1216,shuffle,4,0.8259749147954842,0.6197813644629764,0.11291116764004425
linear,1216,shuffle,8,0.7872965567375116,0.6122186032785492,0.13583970139368842
linear,1216,shuffle,16,0.7318266490343366,0.6162646249124805,0.13755850182003979
linear,1216,shuffle,32,0.7636609372960558,0.689489881489955,0.12359294890630886
linear,1217,shuffle,1,0.8266029249901167,0.5382675689526563,0.038933826110373444
