task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual
linear,1102,pc,0.0005,0.05,0.0,0.7702436194249721,0.8682070779977948,0.11449268284603502
linear,1103,pc,0.0005,0.05,0.0,0.7550115647342054,0.9070556049991865,0.12352004582302578
linear,1104,pc,0.0005,0.05,0.0,0.6959436238355611,0.8883974210002634,0.11088642681018651
linear,1100,pc,0.0005,0.1,0.0,0.8006739829986848,0.8616125799999281,0.1445100894260594
linear,1101,pc,0.0005,0.1,0.0,0.8245445905106387,0.8812032040004851,0.15947764239258386
linear,1102,pc,0.0005,0.1,0.0,0.7873052552480951,0.8765695789988968,0.1541496919336494
linear,1103,pc,0.0005,0.1,0.0,0.7901031872428529,0.894053799998801,0.15446341577343334
linear,1104,pc,0.0005,0.1,0.0,0.7186354752259295,0.8368685390014434,0.14721129696147892
linear,1100,pc,0.001,0.05,0.0,0.6707656676899942,0.8679567290018895,0.10848238835210615
linear,1101,pc,0.001,0.05,0.0,0.6855073072487082,0.9081117130008352,0.12032375199459766
linear,1102,pc,0.001,0.05,0.0,0.644071489361844,0.9085429839979042,0.1107070423260544
linear,1103,pc,0.001,0.05,0.0,0.624547057542173,0.8848779750005633,0.11487361467957038
linear,1104,pc,0.001,0.05,0.0,0.582563056668863,0.8438582119997591,0.10687989206247643
linear,1100,pc,0.001,0.1,0.0,0.7024222021008683,0.8925135319987021,0.13384332476261
linear,1101,pc,0.001,0.1,0.0,0.710316800117362,0.8530009710011655,0.1462776573485956
linear,1102,pc,0.001,0.1,0.0,0.6783262012230097,0.8848248510003032,0.1394631946281335
linear,1103,pc,0.001,0.1,0.0,0.6578816258952033,0.9434957519988529,0.13748580218290807
linear,1104,pc,0.001,0.1,0.0,0.6260763119903612,0.9952499400023953,0.13365917105604486
linear,1100,pc,0.003,0.05,0.0,0.5906258164439032,1.043986157998006,0.08956371384381955
linear,1101,pc,0.003,0.05,0.0,0.5361395448485972,1.0798867760022404,0.10007919684521384
linear,1102,pc,0.003,0.05,0.0,0.5417879489319132,1.0238920919982775,0.09168128803143612
linear,1103,pc,0.003,0.05,0.0,0.4874093238534985,0.8693629410008725,0.09249797835046404
linear,1104,pc,0.003,0.05,0.0,0.45757685766104444,0.8741449370027112,0.08981889780636415
linear,1100,pc,0.003,0.1,0.0,0.6507271982847943,0.8466423729987582,0.09204221325532702
linear,1101,pc,0.003,0.1,0.0,0.6149601762585132,0.8474057950006681,0.10636403301547914
linear,1102,pc,0.003,0.1,0.0,0.6578196180119813,0.8233658229983121,0.10444162709773329
linear,1103,pc,0.003,0.1,0.0,0.6084588408473236,0.8401667610014556,0.10659065238636375
linear,1104,pc,0.003,0.1,0.0,0.580174664083118,0.8501725379974232,0.10443744650997297
linear,1100,pc,0.006,0.05,0.0,0.5974378137103525,0.9068706489997567,0.06274891649120548
linear,1101,pc,0.006,0.05,0.0,0.5029178445313486,0.9443101399992884,0.06596605486432117
linear,1102,pc,0.006,0.05,0.0,0.537626216770757,0.8604130859966972,0.0690262659240057
linear,1103,pc,0.006,0.05,0.0,0.4667477419335202,0.893433178000123,0.06829145949768844
linear,1104,pc,0.006,0.05,0.0,0.46570103789091366,0.8641859449999174,0.06385017557212555
linear,1100,pc,0.006,0.1,0.0,0.6861696552066846,0.9220724950027943,0.10455866563631815
linear,1101,pc,0.006,0.1,0.0,0.7361741236559967,0.8616029820004769,0.11013883882894623
linear,1102,pc,0.006,0.1,0.0,0.7011665247796639,0.8866981749997649,0.10172710035820234
linear,1103,pc,0.006,0.1,0.0,0.7014686365092535,0.9325184250010352,0.11792397534914474
linear,1104,pc,0.006,0.1,0.0,0.6136351902687628,0.927760941998713,0.10143815474629043
