task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1219,tp,0.003,0.05,0.2,0.6510601222392453,0.8709507420026057,0.07112464691575117,0.6690420803550102,0.36282802751780596,0.6923831426049638,1.3948560950466493
nonlinear,1200,bp,0.01,0.1,0.0,0.004087579976413983,0.12297643500278355,0.0,0.004645530160106642,0.9862097509009239,0.022567740867916297,0.4341970820670758
nonlinear,1201,bp,0.01,0.1,0.0,0.00847336334515969,0.13705714799652924,0.0,0.008432086973036981,0.9793038770918567,0.029768310578351897,0.43868341336705113
nonlinear,1202,bp,0.01,0.1,0.0,0.0053551314795665765,0.12443033000090509,0.0,0.004895573203825177,0.9820078012704709,0.016368841953260868,0.46222503837380774
nonlinear,1203,bp,0.01,0.1,0.0,0.007703700720114626,0.12078087600093568,0.0,0.00792373104229904,0.9767007452487083,0.023498797022928328,0.4010165899007408
nonlinear,1204,bp,0.01,0.1,0.0,0.004302982438010499,0.13876039599927026,0.0,0.004493433375311773,0.9803430733041806,0.016387408765674464,0.38645583729937
nonlinear,1205,bp,0.01,0.1,0.0,0.004606847524170599,0.1195993199980876,0.0,0.0046179304315108576,0.9856296613923982,0.023012017179969802,0.40871848588464416
nonlinear,1206,bp,0.01,0.1,0.0,0.007671958408734789,0.12138198300090153,0.0,0.0077447768848900025,0.9715071813147017,0.019566953146403106,0.5358478256047619
nonlinear,1207,bp,0.01,0.1,0.0,0.004035733295649734,0.14532109400170157,0.0,0.004032095451345693,0.9815079533742387,0.015607844894571546,0.372083209595268
nonlinear,1208,bp,0.01,0.1,0.0,0.003726801466515578,0.131178521001857,0.0,0.003998102308495728,0.9874752234630201,0.018820934211188457,0.4518682531538773
nonlinear,1209,bp,0.01,0.1,0.0,0.009681287444699085,0.1329708830016898,0.0,0.010504889288848423,0.9684252881139519,0.02598987028575782,0.4857821229651915
nonlinear,1210,bp,0.01,0.1,0.0,0.006576610287900442,0.13375203099712962,0.0,0.006561661773787748,0.976769915053524,0.020195509262607287,0.4915850379898905
nonlinear,1211,bp,0.01,0.1,0.0,0.004861053993008069,0.12816156800181489,0.0,0.00477976248225928,0.9845040142556057,0.020270878518936306,0.4179274904385668
nonlinear,1212,bp,0.01,0.1,0.0,0.004026815586115252,0.13721502300177235,0.0,0.004091805052073346,0.9854397310507731,0.01712440852285774,0.32725561198804115
nonlinear,1213,bp,0.01,0.1,0.0,0.006131948590384778,0.12761286300155916,0.0,0.0061594407938855315,0.9853738090273751,0.026134254147080854,0.5645608524665656
nonlinear,1214,bp,0.01,0.1,0.0,0.0026371870672614664,0.12179648000164889,0.0,0.0027027286325109236,0.9903472340696726,0.0157176621316435,0.40572815789475847
nonlinear,1215,bp,0.01,0.1,0.0,0.004640336338840006,0.12825090400292538,0.0,0.004712031409790856,0.9860216268207057,0.022456988880948298,0.41231139727641075
nonlinear,1216,bp,0.01,0.1,0.0,0.004848728425255509,0.15951652699732222,0.0,0.004956412818546807,0.977581238856551,0.01398825586274767,0.3964935652814769
nonlinear,1217,bp,0.01,0.1,0.0,0.006208770683404834,0.13096735300132423,0.0,0.0069338085021315166,0.9778953672832804,0.019099962647934926,0.404892994596642
nonlinear,1218,bp,0.01,0.1,0.0,0.007145685578767121,0.12231661500118207,0.0,0.006979122000801853,0.9807795212663566,0.025448367272083692,0.43780976002017463
nonlinear,1219,bp,0.01,0.1,0.0,0.006863285265539777,0.14074841999899945,0.0,0.007259715195551397,0.9725625575673811,0.019135139910630834,0.4011748545021209
nonlinear,1200,pc,0.006,0.05,0.0,0.007395852115195109,0.8317975250029122,0.012067282256613824,0.008413866361514394,0.9750234507122526,0.02608013718962397,0.4341970820670758
nonlinear,1201,pc,0.006,0.05,0.0,0.01309779486488065,0.8166977729997598,0.0158160619842431,0.013083064326299415,0.9678882928771886,0.03314027153931604,0.43868341336705113
nonlinear,1202,pc,0.006,0.05,0.0,0.016041488191639322,0.8862576889987395,0.01503591596767259,0.01492207958638799,0.9451584094041606,0.025066301475169805,0.46222503837380774
nonlinear,1203,pc,0.006,0.05,0.0,0.012945094025162522,0.8290154559981602,0.015189563815890645,0.014508893893590903,0.9573374697876983,0.029158584100562143,0.4010165899007408
nonlinear,1204,pc,0.006,0.05,0.0,0.01068602663266456,0.8185201179985597,0.013853686830798571,0.01031245727335556,0.9548872321575135,0.020799144330446967,0.38645583729937
nonlinear,1205,pc,0.006,0.05,0.0,0.01371302700539953,0.8404493979978724,0.0168283015714289,0.0136585708728368,0.957496482190535,0.030086003346300367,0.40871848588464416
nonlinear,1206,pc,0.006,0.05,0.0,0.014137921541516078,0.8739706689993909,0.015752043481646993,0.01310645253033779,0.9517817257869672,0.02436774254703362,0.5358478256047619
nonlinear,1207,pc,0.006,0.05,0.0,0.00886728532588607,0.8478522570003406,0.012597801412196857,0.009520155185667184,0.9563385451306501,0.0206438984290403,0.372083209595268
nonlinear,1208,pc,0.006,0.05,0.0,0.007354350218664212,0.9528191009994771,0.010613535979169747,0.007350684637911901,0.9769726546796905,0.021618603016260157,0.4518682531538773
nonlinear,1209,pc,0.006,0.05,0.0,0.014518087364485158,0.870417684000131,0.015589783841189718,0.015575013222221159,0.9531859364158104,0.029064404277487386,0.4857821229651915
nonlinear,1210,pc,0.006,0.05,0.0,0.011224189509111374,0.8661530600002152,0.01487811538792063,0.010969066630107667,0.96116649129663,0.02424910650185035,0.4915850379898905
nonlinear,1211,pc,0.006,0.05,0.0,0.012159182407258037,0.9121315060001507,0.013694253973289794,0.012502368037738812,0.9594673338679379,0.02681664382895728,0.4179274904385668
nonlinear,1212,pc,0.006,0.05,0.0,0.007420165262533459,0.8213189659982163,0.01188525418913555,0.007624586795515591,0.9728686892565475,0.020680565095689944,0.32725561198804115
nonlinear,1213,pc,0.006,0.05,0.0,0.008828772176394037,0.881162678997498,0.012765857928153853,0.008810761901295996,0.9790779893021117,0.0288945181588235,0.5645608524665656
nonlinear,1214,pc,0.006,0.05,0.0,0.004878091516672583,0.8928859070001636,0.009508332855238952,0.004579191222253704,0.9836454683289606,0.01724874940776718,0.40572815789475847
nonlinear,1215,pc,0.006,0.05,0.0,0.008382108866048637,0.9670978399990418,0.012470577931580228,0.008850950426016916,0.973743407612007,0.026019124800845977,0.41231139727641075
nonlinear,1216,pc,0.006,0.05,0.0,0.008309513134312673,0.8385562139992544,0.011188918324428667,0.008454174612225633,0.9617602229202395,0.017295166251363136,0.3964935652814769
nonlinear,1217,pc,0.006,0.05,0.0,0.01174378938788564,0.8705052220029756,0.01377005624911517,0.011978726776947871,0.9618124215952936,0.02315928260844899,0.404892994596642
nonlinear,1218,pc,0.006,0.05,0.0,0.012161481887296993,0.8376657460030401,0.014363585574874162,0.011478371771981292,0.968388602389402,0.02921915180478225,0.43780976002017463
nonlinear,1219,pc,0.006,0.05,0.0,0.01245553283124868,0.8388059469980362,0.014665607321389194,0.012488494721192137,0.9528008543375441,0.02415971487189084,0.4011748545021209
nonlinear,1200,pcalm,0.003,0.05,0.2,0.013202756423512813,0.829572984999686,0.014093832221899043,0.01555685348661165,0.9538195044732461,0.03220803553456129,0.4341970820670758
nonlinear,1201,pcalm,0.003,0.05,0.2,0.01968753693840575,0.8570451840023452,0.016722511942718028,0.01809994733431018,0.9555746120907379,0.03749800435749629,0.43868341336705113
nonlinear,1202,pcalm,0.003,0.05,0.2,0.023354230236010673,0.9791941549992771,0.01694700116552622,0.021484197525142957,0.9210413295189216,0.030436012260341982,0.46222503837380774
nonlinear,1203,pcalm,0.003,0.05,0.2,0.020140085924806095,0.8510302590002539,0.01607725303734987,0.022077181474926877,0.9350833751639336,0.03672840867356925,0.4010165899007408
nonlinear,1204,pcalm,0.003,0.05,0.2,0.020594200513241182,0.8410564999976486,0.015675887232030932,0.01871767088861768,0.9181178724946594,0.02818360090077786,0.38645583729937
nonlinear,1205,pcalm,0.003,0.05,0.2,0.017538910950202578,0.8558407430027728,0.016501383107732474,0.01773457527290213,0.9448125398350306,0.0340753757273066,0.40871848588464416
nonlinear,1206,pcalm,0.003,0.05,0.2,0.022595974070503334,0.838375843999529,0.016552660637506454,0.02122528011357112,0.9219127849892554,0.032634169375030636,0.5358478256047619
nonlinear,1207,pcalm,0.003,0.05,0.2,0.013827634807127884,0.9257617049988767,0.014000668876760358,0.014504206204103675,0.9334806279681629,0.024790796647170345,0.372083209595268
nonlinear,1208,pcalm,0.003,0.05,0.2,0.015114423670922375,0.9685632879991317,0.012585128369317756,0.014088150201160091,0.9558663287044978,0.028792828049909208,0.4518682531538773
nonlinear,1209,pcalm,0.003,0.05,0.2,0.018318043267169598,0.8519713309979124,0.015703573684734278,0.019600108206522582,0.9410876447585904,0.03324081509455116,0.4857821229651915
nonlinear,1210,pcalm,0.003,0.05,0.2,0.01739577685242806,0.8608717600000091,0.015089785156539267,0.01708269449799851,0.9395225694368379,0.029772942716722563,0.4915850379898905
nonlinear,1211,pcalm,0.003,0.05,0.2,0.021322343056291423,0.8334169109984941,0.015458543613086316,0.02227704041393592,0.9277778546605779,0.03610832301839668,0.4179274904385668
nonlinear,1212,pcalm,0.003,0.05,0.2,0.011265474036496415,0.8269460599985905,0.012619658524899338,0.011866575987753059,0.9577740054354317,0.02498788006313818,0.32725561198804115
nonlinear,1213,pcalm,0.003,0.05,0.2,0.016490889441190246,0.8250605180001003,0.015132053017721435,0.01800814945578329,0.9572378984038089,0.03771818603889152,0.5645608524665656
nonlinear,1214,pcalm,0.003,0.05,0.2,0.01114417769178846,0.8322088719978638,0.01105094680399523,0.010109578535631695,0.9638937501586851,0.02216211839701453,0.40572815789475847
nonlinear,1215,pcalm,0.003,0.05,0.2,0.014884495800355085,0.845565384002839,0.014232077028625941,0.015510597038034377,0.9539873793751037,0.032338749145937186,0.41231139727641075
nonlinear,1216,pcalm,0.003,0.05,0.2,0.012561260209645009,0.8363080310009536,0.011670964992913242,0.012512126223661928,0.9434053660430964,0.021357750257778613,0.3964935652814769
nonlinear,1217,pcalm,0.003,0.05,0.2,0.01781340736695824,0.9267389449996699,0.014690677138837408,0.018193626191556806,0.9419996348866536,0.028346346097781586,0.404892994596642
nonlinear,1218,pcalm,0.003,0.05,0.2,0.018946572037898447,0.826324547000695,0.015274844145156471,0.018348520962606068,0.9494682344118557,0.03535837236592562,0.43780976002017463
nonlinear,1219,pcalm,0.003,0.05,0.2,0.016752031422804913,0.8744956539994746,0.014456668610380162,0.017291394885484767,0.9346487239553294,0.02854533159690073,0.4011748545021209
nonlinear,1200,shuffle,0.003,0.05,0.2,0.013227088000796175,0.8224825200013584,0.014096937289714154,0.01576045108138898,0.9532151253278769,0.032411505287949394,0.4341970820670758
nonlinear,1201,shuffle,0.003,0.05,0.2,0.019491855174684814,0.8584809280000627,0.01665413252024491,0.01803758489114341,0.9557276774934974,0.03737554027169652,0.43868341336705113
nonlinear,1202,shuffle,0.003,0.05,0.2,0.02347599391055696,0.8401960769988364,0.017071408421850766,0.021473257212860187,0.9210815373280093,0.0305251663626107,0.46222503837380774
